Title,Published_date,Views,Likes,Dislikes,Comments,Duration (Minutes)
ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14T12:30:08Z,443958,8310,0,223,31.12
FREE Data Analyst Bootcamp!!,2023-02-07T12:30:11Z,1457584,39221,0,1528,6.87
How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31T12:30:06Z,1163857,39659,0,1131,13.98
Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25T17:14:49Z,17610,633,0,23,70.28
DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24T12:30:13Z,39222,1435,0,120,12.82
Reviewing Maven Analytics Free Portfolio Website,2023-01-17T12:30:08Z,25348,782,0,48,22.6
5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16T17:25:08Z,46265,1357,0,36,77.5
DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10T12:30:03Z,63063,2974,0,222,12.53
Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03T12:30:12Z,76815,1617,0,77,14.38
"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27T13:00:00Z,7674,245,0,12,9.4
Why I Quit my 125k Analytics Job,2022-12-20T12:00:33Z,157516,8724,0,860,7.72
Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17T14:16:05Z,5077,167,0,16,82.8
Converting Data Types in Python | Python for Beginners,2022-12-13T12:00:06Z,43321,1194,0,32,6.6
Functions in Python | Python for Beginners,2022-12-06T12:00:36Z,58091,1463,0,32,12.73
While Loops in Python | Python for Beginners,2022-11-29T12:00:07Z,57800,1534,0,27,5.67
For Loops in Python | Python for Beginners,2022-11-22T12:00:48Z,57278,1349,0,25,9.28
Data Analyst Q/A Livestream | November Livestream,2022-11-16T02:06:22Z,6281,201,0,18,62.28
If Else Statements in Python | Python for Beginners,2022-11-15T12:00:00Z,49063,1287,0,27,6.67
"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08T12:00:35Z,51792,1344,0,21,7.25
Data Types in Python | Python for Beginners,2022-11-01T11:00:37Z,113760,2670,0,69,21.97
Data Analyst Q/A Livestream | October Livestream,2022-10-31T01:22:29Z,5712,182,0,11,74.97
Variables in Python | Python for Beginners,2022-10-25T11:00:27Z,111433,2458,0,62,13.28
300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19T10:56:23Z,5266,244,0,23,84.4
Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18T11:00:30Z,364431,5535,0,152,10.05
Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13T11:00:07Z,9532,336,0,21,22.1
Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11T11:00:42Z,7401,330,0,31,24.43
When Best Friends Work Together (ft. Luke Barousse),2022-10-04T10:30:09Z,15748,688,0,84,5.58
Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01T01:48:31Z,6744,213,0,14,93.13
Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27T10:30:19Z,430380,8205,0,444,42.62
Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20T10:30:00Z,111307,2575,0,57,14.23
"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13T10:30:00Z,57982,2150,0,96,8.35
How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06T10:30:02Z,102417,2269,0,48,9.52
How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30T10:30:10Z,161939,2629,0,57,9.88
Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24T16:15:29Z,77062,2069,0,78,70.82
Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23T10:30:19Z,7189,254,0,15,28.92
CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,2022-08-16T10:30:00Z,27393,663,0,127,22.68
How to use Drill Down in Power BI | Microsoft Power BI for Beginners,2022-08-09T10:30:11Z,197650,3422,0,75,6.03
"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",2022-08-02T10:30:05Z,20294,868,0,75,9.43
250k Subscriber Live Stream!!,2022-07-26T13:19:48Z,4161,157,0,11,75.65
How to use DAX in Power BI | Microsoft Power BI for Beginners,2022-07-26T10:30:12Z,204158,4050,0,171,15.73
Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,2022-07-19T10:30:06Z,21990,616,0,123,49.23
How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,2022-07-12T10:30:22Z,252370,4463,0,109,8.6
Machine Learning Specialization on Coursera | Review,2022-07-05T10:30:01Z,25162,789,0,63,14.92
Meta Marketing Analytics Professional Certificate on Coursera | Review,2022-06-28T10:30:07Z,36331,941,0,103,19.1
Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,2022-06-21T10:30:09Z,45624,1644,0,133,10.2
How to use Power Query in Power BI | Microsoft Power BI for Beginners,2022-06-14T10:30:08Z,351091,5538,0,98,13.12
